"Component Count:","104"
"Ref","Qnty","Value","Lomex","Mouser"
"C1, C2, C9, C10, C27, C28, ","6","10u","82-17-06",""
"C3, C4, C5, C6, C8, C11, C12, C14, C15, C16, C17, C18, C20, C21, C23, C24, C26, ","17","100n","82-13-46",""
"C7, C25, ","2","2.2u","82-12-91",""
"C13, ","1","22u","82-10-19",""
"D1, ","1","LED_Dual_AAK","95-00-13",""
"D2, D5, ","2","35V","96-03-92",""
"D3, D6, ","2","3V","85-00-96",""
"D4, D7, ","2","5V6","85-02-01",""
"F1, ","1","500mA","44-02-65",""
"F2, ","1","1A","44-01-78",""
"F3, F4, ","2","3A/5A","","652-MF-LSMF500/16X-2"
"IC1, IC3, ","2","LMR51420YFDDCR","","595-LMR51420YFDDCR"
"IC2, ","1","ESP32-WROVER-IE","","356-ESP32WVIE23264UC"
"J1, J2, ","2","Barrel_Jack_Switch_Pin3Ring","43-07-67",""
"J3, ","1","Conn_02x08_Odd_Even","43-01-07",""
"J4, ","1","Conn_01x04_Male","",""
"J5, ","1","Conn_ARM_JTAG_SWD_10","43-15-33",""
"JP1, ","1","Jumper_2_Open","",""
"L1, L2, ","2","PCD0504","93-02-78",""
"Q1, Q3, ","2","TSM2302/SI2302","86-03-40",""
"Q5, Q7, Q8, Q10, ","4","Si2333DDS","","78-SI2333DDS-T1-BE3"
"Q6, Q9, ","2","Si2307CDS","86-03-40",""
"R1, R2, R3, R4, R8, R11, R13, R16, R17, R18, R20, R22, R23, R24, R25, R26, R27, R28, R29, R30, R37, ","21","10k","80-54-49",""
"R6, R31, ","2","100k","80-55-70",""
"R7, R32, ","2","25k","80-41-54",""
"R9, R14, R35, ","3","68","80-56-46",""
"R10, ","1","56","80-10-71",""
"R19, ","1","680","80-10-84",""
"R21, R38, ","2","0R1","80-16-17",""
"R33, ","1","300","80-14-83",""
"RV1, RV2, ","2","30V","60-01-53",""
"SW1, ","1","SW_Push","45-11-28",""
"TP1, ","1","TP_GND","",""
"TP2, TP3, TP4, TP5, ","4","TestPoint","",""
"U1, ","1","IFX27001TFV33","89-25-59",""
"U2, U3, ","2","ZXBM5210-S","","621-ZXBM5210-S-13"
"U4, U5, U6, U7, ","4","OP07","","595-OP07CDR"
